,Company Name,Company Website
0,ACB,www.acb.com.vn
1,ACT BRAIN,nan
2,AD NET,nan
3,AGREX,http://www.agrex.co.jp/
4,AKB SOFTWARE JOINT VENTURE,http://www.akb.com.vn
5,ALFA UNIVERSAL,http://www.alfauniversal.com
6,AlphaLive,http://www.alphalive.co.jp/
7,An Phu Lacue,nan
8,An Phu Lacue,nan
9,Archway,www.archway.co.jp
10,AsBase,http://www.asbase.jp
11,Astec,http://www.astec-corp.co.jp
12,BAMBOO CAPITAL,nan
13,Bank of Yokohama,www.boy.co.jp
14,Bao Viet Fund,www.baoviet.com.vn/fund
15,B&Company,www.b-company.jp
16,BIDV,www.bidv.com.vn
17,Beijing Innovation Software Technology,http://www.bis.com.cn
18,BIDV Securities,www.bsc.com.vn
19,BIDV Securities,www.bsc.com.vn
20,BaoViet Securities,www.bvcs.com.vn
21,CFTD,nan
22,CMC,www.cmc.com.vn
23,CoderLovers Vietnam,http://codelovers.vn
24,CoderLovers Vietnam,www.codelovers.vn
25,CoderLovers Vietnam,www.codelovers.vn
26,"VIETNAM NATIONAL UNIVERSITY, HANOI
COLLEGE OF TECHNOLOGY",www.coltech.vn.edu\~thuyhq
27,CONSULATE GENERAL OF JAPAN IN HO CHI MINH CITY,nan
28,CRESCO,http://www.cresco.co.jp
29,CROSSCOOP VIETNAM,http://www.crosscop.biz/
30,DAICHU VINA,"www.daichucorp.com 
www.kaguhanoi.com"
31,DAIWA International,www.daiwa-ict.com
32,DAT XANH GROUP,www.datxanh.com.vn
33,DDS,nan
34,DDS,nan
35,Danh Khôi Việt,www.danhkhoiviet.com.vn
36,EMBASSY OF JAPAN,nan
37,ESPACIO CONSULTANT,http://www.espa.co.jp
38,ExelForce,www.exelforce.com.my
39,Fpt Information System,www.fis.com.vn
40,FPT Japan,www.fpt-software.com
41,FPT Japan,www.fpt-software.com
42,FPT Japan,www.fpt-software.com
43,Fpt Software,www.fpt-software.com
44,FINALCIAL SOFTWARE SOLUTIONS,www.fssc.com.vn
45,FUJITSU VIETNAM,nan
46,Funai Consulting,nan
47,GalaxyGroup,www.galaxygrp.com
48,GENEVA FAR EAST,nan
49,GLASSEGG digitalmedia,www.glassegg.com
50,G-Next,http://www.gnext.co.jp/
51,GTEL INFORMATION AND COMMUNICATION TECHNOLOGY,www.gtelict.vn
52,HANEL,www.hanel.com.vn
53,HANEL SOFTWARE SOLUTIONS,www.hanelsoft.vn
54,Hitachi Solutions,www.hitachi-solutions.com
55,Hitachi Solutions,www.hitachi-solutions.com
56,HOCHIMINH STOCK EXCHANGE,nan
57,HRnavi by iGlocalResource,http://www.hrnai.com
58,HANOI UNIVERSITY OF SCIENCE & TECHNOLOGY,www.hut.edu.vn
59,IDT INTERNATIONAL,"www.idt.vn 
www.hoclamgiau.vn"
60,Innovation System,http://www.innovation-system.co.jp
61,INTEC Vietnam,www.intec-vietnam.com
62,INTERCONTINENTAL HANOI LANDMARK 72,intercontinental.com
63,Japan Microsystems,http://www.jams.co.jp/
64,JAPAN-VIETNAM FRIENDSHIP ASSOCIATION,http://nvyk.jp
65,Japan Embedded Systems Technology Association (JASA),http://www.jasa.or.jp
66,JAPANESE FOOD CULTURE ASSOCIATION,www.japaneseFoodCultureUSA.org
67,Japan Investor Solutions & Technologies,http://www.jis-t.co.jp
68,Japan Investor Solutions & Technologies,http://www.jis-t.co.jp
69,JUMBO,nan
70,KCCS MOBILE ENGINEERING,http://www.kcme.jp/
71,Keyware Solutions,http://www.keyware.co.jp/
72,Keyware Solutions,http://www.keyware.co.jp/
73,Keyware Solutions,http://www.keyware.co.jp/
74,KIS Vietnam,http://www.kis-v.com
75,KIS Vietnam,http://www.kis-v.com
76,KIS Vietnam,http://www.kis-v.com
77,KYOCERA COMMUNICATION SYSTEMS,http://www.kccs.co.jp/
78,KOMTEK,www.komtek.vn
79,Lirik,lirik.io
80,LogiGear,www.logigear.vn
81,Lotus Concept,nan
82,LZT VietNam,http://www.vn.lzt.jp
83,利達ソフト,http://www.lzt.jp
84,利達ソフト,http://www.lzt.jp
85,北京利達智通信患技術有限公司,http://www.lzt.com.cn
86,MarkAny,http://www.markany.com
87,MB SECURITIES,www.mbs.com.vn
88,MGREENY,nan
89,MITSUBISHI ELECTRIC,nan
90,MITSUI,http://www.mitsui.com/jp/
91,MOCAP Vietnam,http://www.mocap.com.vn
92,MEACHAM/OPPENHEIMER CORFAC INTERNATIONAL,www.moinc.net
93,MORIS,nan
94,Naganuma Việt Nam,https://naganuma.edu.vn
95,NAL,www.nal.vn
96,NAL,www.nal.vn
97,Harvey Nash,www.nashtechglobal.com
98,,http://www.vill.kawakami.nagano.jp/
99,NIKKEI,nan
100,NIPPON SODA,nan
101,NITTSU SYSTEM VIETNAM,www.nittsusystem.co.jp/vn/
102,Nippon Software Industry Association,http://www.nsa.or.jp
103,NEW SYSTEM VIETNAM,www.newsystemvietnam.com
104,NEW SYSTEM VIETNAM,www.newsystemvietnam.com
105,NTT Communications,nan
106,NTT DATA,nan
107,Offshoring Academy,www.offshoringleaders.com
108,OKWave,"http://www.okwave.co.jp/ 
okwave.jp"
109,OnDemandOne,http://www.ondemandone.com
110,ONE of Them,nan
111,ORIENT SECURITIES,www.ors.com.vn
112,Panasonic R&D Center Vietnam,nan
113,Panasonic R&D Center Vietnam,nan
114,Pasona Tech Vietnam,http://vn.pasonatech.co.jp/
115,Peak 1,www.peak-1.co.jp
116,Peak 1,www.peak-1.co.jp
117,Playnext Japan,playnext.co.jp
118,Primeq Realty,www.primeqrealty.com
119,PETROVIETNAM SECURITIES,http://psi.vn
120,QES,http://www.qes.co.jp
121,Real Estate Intelligent (REI) Invest,www.REIInvest.com
122,RICOH IT SOLUTIONS,http://www.jrits.co.jp
123,Rikkeisoft,www.rikkeisoft.com
124,Rikkeisoft,www.rikkeisoft.com
125,RINKAI CONSTRUCTION,nan
126,Ryoden Trading,http://www.ryoden.co.jp
127,Ryoden Trading,http://www.ryoden.co.jp
128,RYOSHO TECHNO,nan
129,ソフトウェア コントロール,http://scnet.co.jp/
130,Sekai Lab,http://sekai-lab.com
131,Shonan Industrial Promotion Foundation,http://www.cityfujisawa.ne.jp
132,SiGlaz VN,www.siglaz.com
133,smart osc,www.smartosc.com
134,Senior Marketing System Asia,http://bm-sms.asia/
135,SMS Vietnam,http://www.bm-sms.co.jp
136,Softbridge Global Studies,www.softbridge.co
137,SCHOOL OF INFORMATION AND COMMUNICATION TECHNOLOGY,http://www.soict.hut.edu.vn/~thanghq
138,SCHOOL OF INFORMATION AND COMMUNICATION TECHNOLOGY,http://www.soict.hut.edu.vn/~khanhnk
139,SRA Nishi-Nihon,http://www.sraw.co.jp
140,Software Research Associates,http://www.sra.co.jp/
141,Software Research Associates Shanghai,http://www.sra.co.jp/
142,SRA Nishi-Nihon,http://www.sra.co.jp/
143,SSG,www.ssggroup.com.vn
144,STAR LIBRA,nan
145,SUNNET INFORMATION TECHNOLOGY AND COMMUNICATION SOLUTION,http://www.sunnet.vn
146,SUNNET INFORMATION TECHNOLOGY AND COMMUNICATION JOINT STOCK COMPANY,http://www.sunnet.vn
147,田中プリント,nan
148,Tecnos Japan,nan
149,THIEN AN PHU JOINT STOCK COMPANY,nan
150,Thien Linh Trading,www.thienlinh.vn
151,Timeholding,timeholding.com
152,TMA SOLUTIONS,www.tmasolutions.com
153,UCHIDA YOKO,www.uchida.co.jp
154,Umove,"www.umove.com.vn 
www.umovetravel.com 
www.lamvisaonline.com"
155,日本ユニシス,http://www.unisys.co.jp/
156,Nihon Unisys,http://www.unisys.co.jp/
157,Nihon Unisys,http://www.unisys.co.jp/
158,Urban Renaissance Agency,nan
159,Urban Renaissance Agency,nan
160,USOL VIETNAM,http://www.usol-v.com.vn
161,"Vietnam Post and Telecommunications Group
Vietnam Datacommunication Company",http://vdc.com.vn
162,VIETNAM DX USA,www.vdx-usa.com
163,Viasys VDC,www.viasys.com
164,VIETNAM TRADE PROMOTION AGENCY,www.vietrade.gov.vn
165,VINICORP,http://www.vinicorp.com.vn
166,VITECH,nan
167,VKX,http://rd.vkx.vn
168,V-NEXT SOFTWARE JSC,www.vnext.vn
169,V-NEXT SOFTWARE JSC,http://vnex.vn
170,VIETNAM Posts & Telecommunications Group.,http://www.vnpt.com.vn
171,VNPT Technology,nan
172,Yes Telecom,http://www.yes-telecom.co.kr
173,YONDENKO,http://www.cadewa.com/
