,Company Name,Company Website
0,Keyware Solutions,http://www.keyware.co.jp/
1,TMA SOLUTIONS,www.tmasolutions.com
2,VNS TELECOM,www.vnstelecom.vn
3,Fujitsu Systems West,http://jp.fujitsu.com/fwest/cadewa
4,INFOMEX,HTTP://www.infomex.jp/
5,Vietwealth Fund Management JSC (LVC),www.lvc.com.vn
6,QSOFT VIETNAM,www.qsoftvietnam.com
7,GOODFELLOWS,http://goodf.co.jp
8,NTT DATA Vietnam,nan
9,"Japan External trade Organization
Hanoi Representative Office",http://www.jetro.go.jp/vietnam
10,Bank of America,nan
11,Viasys VDC,www.viasys.com
12,Seven Bank,http://www.sevenbank.co.jp/
13,ヒューマンシーン,http://www.human-scene.co.jp/
14,VIETNAM CHAMBER OF COMMERCE AND INDUSTRY,www.vcci.com.vn
15,日通システム,http://www.nittsusystem.co.jp
16,Innovation System,http://www.innovation-system.co.jp
17,"ASEAN-JAPAN CENTRE
(ASEAN Promotion Centre on Trade, Investment and Tourism)",www.asean.or.jp
18,NATIXIS,nan
19,VIET CALENDAR,www.vietcalendar.us
20,IDT INTERNATIONAL,"www.idt.vn 
www.hoclamgiau.vn"
21,VIETNAM SECURITIES DEPOSITORY,www.vsd.vn
22,"STATE SECURITIES COMMISSION
INTERNATIONAL COOPERATION DEPARTMENT",nan
23,AGREX,http://www.agrex.co.jp/
24,CAC,http://www.cac.co.jp
25,MITANI SANGYO,http://www.mitani.co.jp/
26,Organization Management Facilitator,http//www.omfinc.co.jp/
27,OOTOYA HOLDINGS,nan
28,Buisiness Information Planning,http://bi-planning.com
29,Universal Technology Services,http://www.uts.vn
30,D HEARTS VIETNAM,www.d-hearts.com
31,Global Data Service JSC,www.gds.vn
32,HUẾ RESTAURANT,nan
33,HANAYUKI,nan
34,AEON,nan
35,Vietcombank,www.vietcombank.com.vn
36,MITSUBISHI ELECTRIC,nan
37,AU VIET TOURISM AND TRADING,nan
38,EVOLABLE ASIA,http://www.evolable.asia./
39,ADVANCED NETWORK SYSTEMS VIETNAM,nan
40,ISB VIETNAM,www.isb-vietnam.com.vn
41,Global Data Service JSC,www.gds.vn
42,"BỘ TAI CHÍNH
CỤC TIN HỌC VÀ THỐNG KÊ TÀI CHÍNH",nan
43,オフィス結アジア,nan
44,システム・グリエーション・プロフェッショナルズ,http://www.pt-sys.co.jp
45,FPT Japan,www.fpt-software.com
46,3S,http://www.sss-positioner.co.jp
47,"POSTS & TELECOMMUNICATIONS INSTITUTE OF TECHNOLOGY, HCM BRANCH","www.ptithcm.edu.vn 
www.ptit.edu.vn"
48,"JAPAN BROADCASTING CORPORATION
NHK HANOI BUREAU",nan
49,フリーセル,http://www.freesale.co.jp
50,Digital Hollywood,www.dhw.co.jp
51,MICROS SOFTWARE,http://www.micros.co.jp/
52,Nippon Software Industry Association,http://www.nsa.or.jp
53,PNS,www.phuongnamco.net
54,Aureole Information Technology,http://aureole.vn/
55,BAMBOO CAPITAL,nan
56,INTERCONTINENTAL HANOI LANDMARK 72,www.intercontinental.com
57,Vietcombank Securities,www.vcbs.com.vn
58,INVEST KANAGAWA,nan
59,ITEC,www.itec.co.jp
60,INTERNATIONAL UNIVERSITY OF JAPAN,http://www.iuj.ac.jp/
61,WASEDA University,http://www.waseda.jp
62,コミュニケーション・プランニング,http://www.cpnet.co.jp/
63,RINKAI CONSTRUCTION,http://www.rncc.co.jp/
64,The Japan Foundation Center for Cultural Exchange in Vietnam,www.jpf.org.vn
65,DATASECTION,www.datasection.co.jp
66,INTERNATIONAL UNIVERSITY OF JAPAN,http://www.iuj.ac.jp/
67,北京利達智通信息技術有限公司,http://www.lazt.com.cn
68,"ĐẠI HỌC NGOẠI NGỮ, ĐẠI HỌC QUỐC GIA HÀ NỘI
KHOA NGÔN NGỮ VÀ VĂN HÓA PHƯƠNG ĐÔNG",www.ulis.vnu.edu.vn
69,Software Research Associates,http://www.sra.co.jp/
70,P.A.C.E Architecture,"www.pacedesign.vn 
www.pacegroup.vn"
71,Tan Thuan Corporation,http://ttc-vn.com
72,SSI - Ha Noi Branch,www.ssi.com.vn
73,TF INFORMATON & COMMUNICATION SYSTEMS,www.tf.com.vn
74,AGREX,http://www.agrex.co.jp/
75,AGREX,http://www.agrex.co.jp/
76,QES,http://www.qes.co.jp
77,Business Brain Showa-Ota,http://www.bbs.co.jp/
78,OUTSOURCING MALAYSIA,www.outsourcingmalaysia.org.my
79,"Information-technology Promotion Agency, Japan",http://www.ipa.go.jp
80,YANG KHOR IT SOLUTIONS,www.yangkhor.com.bt
81,N. S. COMPUTER SERVICES,http://nscs.jp/
82,"Takasaki University of Commerce Junior
Takasaki University of Commerce Junior Junior College",http://www.tuc.ac.jp
83,Valley Campus Japan,valleycampus.com
84,タクサス,http://www.taxusjp.com
85,MERX SYSTEM,http://www.merxsystem.co.jp
86,シナジー研究所,http://www.synergy-res.co.jp
87,三菱UFJトラストシステム,nan
88,Valley Campus Japan,valleycampus.co.jp
89,QES,http://www.qes.co.jp
90,"School of Political Science and Economics
Waseda University, Tokyo, JAPAN",nan
91,"VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
NHATRANG INSTITUTE OF TECHNOLOGY RESEARCH AND APPLICATION",nan
92,"VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
NHATRANG INSTITUTE OF TECHNOLOGY RESEARCH AND APPLICATION",nan
93,Universal Technology Services,http://www.uts.vn
94,IDT INTERNATIONAL,"www.idt.vn 
www.hoclamgiau.vn"
95,VIET CAPITAL SECURITIES,www.vcsc.com.vn
96,Soga Law Office,http://www.sogalaw.com
97,大戸屋ホールディングス,nan
98,Advantage Links,http://www.advantagelinks.co.jp/
99,ExcelForce,www.exelforce.com.my
100,Fpt Information System,www.fis.com.vn
101,JASTEC,http://www.jastec.co.jp/
102,AGREX,http://www.agrex.co.jp/
103,ティーエヌエス,http://www.tns-it.jp
104,Vietnam Business Association in Japan,"www.vjba.org 
www.asianewpower.com"
105,AEON MALL,http://www.aeonmall.com
106,SystemEXE,http://www.system-exe.co.jp
107,SPARE TIME CLUBS,www.sparetimeclubs.com
108,HANOI DAEWOO HOTEL,www.hanoidaewoohotel.com.vn
109,ISoftStone Japan,nan
110,REDBOOK,http://www.redbook.vn
111,OOTOYA ASIA PACIFIC,nan
112,MP Telecom,www.mptelecom.com.vn
113,VIETNAM SECURITIES DEPOSITORY,nan
114,more communication,www.more-com.co.jp
115,GreenGoCo,nan
116,MB SECURITIES,www.mbs.com.vn
117,Vietinbank Securities,www.vietinbanksc.com.vn
118,I-GLOCAL,www.i-glocal.com
119,YONDENKO,http://www.cadewa.com/
120,Fujitsu Systems West,http://jp.fujitsu.com/fwest/
121,RMIT INTERNATIONAL UNIVERSITY VIETNAM,www.rmit.edu.vn
122,MEDIA GAIN,http://www.mediagain.co.jp/
123,データセクション,www.datasection.co.jp
124,mitsumori of tokyo,www.mitsumori-bkk.com
125,EMBASSY OF JAPAN,nan
126,Fpt Software,www.fpt-software.com
127,OMORI KAISOTEN,www.omori-kaisoten.co.jp
128,Google Developers,www.gdgvietnam.org
129,NAM A BANK,www.namabank.com.vn
130,Vietcombank,www.vietcombank.com.vn
131,,nan
132,ONE WORLD,www.1world.com.vn
133,FORVAL VIETNAM,http://www.kaigaiadvisers.jp/
134,Hitachi Solutions Business,www.hitachi-solutions-business.co.jp
135,OKASAN INFORMATION SYSTEMS,nan
136,日本新思ソフト,http://www.bis.com.cn
137,アルゴー,www.argo-tokyo.co.jp
138,MITANI SANGYO,http://www.aureole.vn/
139,VIETNAM INNOVATION VALUE ADDED SERVICES,www.vivas.vn
140,Takasaki University of Commerce Junior College,http://www.tuc.ac.jp
141,Forward Integration System Service,http://www.fissc.co.jp/
142,INTERO,www.interonha.com
143,STATES SECURITIES COMMISSION REPRESENTATIVE OFFICE IN HCMC,nan
144,Vietinbank Securities,www.vietinbanksc.com.vn
145,VINX,www.vinx.co.jp
146,IDT INTERNATIONAL,"www.idt.vn 
www.hoclamgiau.vn 
www.tavinet.vn 
www.egame.vn"
147,VIETNAM SOFTWARE & IT SERVICES ASSOCIATION,www.vinasa.org.vn
148,VIET CAPITAL SECURITIES,www.vcsc.com.vn
149,アステック,http://www.astec-corp.co.jp
150,"Information-technology Promotion Agency, Japan",http://www.ipa.go.jp
151,Mapletree Vietnam Management Consultancy,www.mbc.com.vn
152,ITEC,www.itec.co.jp
153,IDT INTERNATIONAL,"www.idt.vn 
www.hoclamgiau.vn"
154,Aicoach,http://www.offshoringleaders.com
155,Fpt Software,www.fpt-software.com
156,Japan Conference on Overseas Development of Eco-Cities,http://www.j-code.jp
157,A.N.S Asia,www.ans-asia.com
158,"Nomura Research Institute
Financial Technologies India",www.nrifintech.com
159,Vietinbank Securities,www.vietinbanksc.com.vn
160,VIỆT NAM FUCOIDAN,nan
161,練心館柔道場,nan
162,GTEL INFORMATOIN AND COMMUNICATION TECHNOLOGY,www.gtelict.vn
163,アイデアズ,www.j-ideas.com
164,IVY-ARTS,http://www.ivy-arts.com
165,JETRO Kula Lumpur,nan
166,CNC SOFTWARE,www.cnc.com.vn
167,Nomura Institute of Capital Markets Research,www.nicmr.com
168,IDT INTERNATIONAL,"www.idt.vn 
www.hoclamgiau.vn"
169,NAGOYA UNIVERSITY RESEARCH AND EDUCATION CENTER FOR JAPANESE LAW IN HANOI LAW UNIVERSITY,nan
170,MEDIA GAIN,http://www.mediagain.co.jp/
171,NTT DATA Vietnam,www.nttdata.com.vn
172,M2M研究 会関西部会 (M2M関西),http://www.m2msg.org/
173,HANOI STOCK EXCHANGE,www.hnx.vn
174,アイテック,nan
175,NECソフト,nan
176,Japan Airlines,http://www.vn.jal.com
177,Information Task Force,http://www.iforce.ne.jp/
178,Pasona Tech Vietnam,http://vn.pasonatech.co.jp/
179,Pasona Tech Systems,systems.pasonatech.co.jp
180,"MINISTRY OF SCIENCE AND TECHNOLOGY
HOALAC HI-TECH PARK MANAGEMENT BOARD",http://www.hhtp.gov.vn
181,Cosm Staff,http://www.cosmocomputing.co.jp
182,COLDWELL BANKER RESIDENTIAL BROKERAGE,"http://www.myrewebsite.com/Valentine 
www.californiamoves.com/ValerieHodin"
183,Softfront Vietnam,www.softfront.com.vn
184,MEDIA GAIN,http://www.mediagain.co.jp/
185,COMMUNITY MANAGEMENT SERVICES,www.communitymanagement.com
186,Seven Bank,http://www.sevenbank.co.jp/
187,BUSINESS INFORMATION PLANNING,http://bi-planning.com
188,フォワード・インテグレーション・システム・サービス,http://www.fissc.co.jp/
189,JAVINA Investment Development,www.btd.co.jp
190,,nan
191,Hokkaido of Food Development and Distribution,http://www.food-hokkaido.or.jp
192,"the General Foundation
Promotion Hokkaido of Food Development and Distribution",http://www.food-hokkaido.or.jp
193,Valley Campus Japan,www.valleycampus.co.jp
194,"DEPARTMENT OF EMBEDDED TECHNOLOGY
SCHOOL OF INFORMATION AND TELECOMMUNICATION ENGINEERING
TOKAI UNIVERSITY",nan
195,システム・グリエーション・プロフェルショナルズ,http://www.pt-sys.co.jp
196,Mizuho Securities,nan
197,ソフトウェアサービス,http://www.software-s.co.jp/
