,Company Name,Company Website
115,Shonan Industrial Promotion Foundation,nan
116,Signpost,http://www.signpost1.com/
117,SILVER SEA,www.silversea.vn
118,SKETCH,"www.sketch.vn 
www.vietnam-sketch.com"
119,SPACE SOLVER,http://www.solver.co.jp
120,"STATE SECURITIES COMMISSION
THE DEPARTMENT OF INFORMATION TECHNOLOGY",www.ssc.gov.vn
121,SUMITOMO MITSUI BANKING,nan
122,Suzuyo Shinwart,http://www.shinwart.co.jp
123,Systena,http://www.systena.co.jp
124,,nan
125,Tazan International,http://www.tsuyohitaira.com
126,TDBiz,http://www.tdbiz.co.jp
127,TECHNOLOGIC ARTS,http://www.tech-arts.co.jp
128,TECHNOLOGIC ARTS ONE MEMBER,http://www.tech-arts.co.jp
129,TECHNOLOGIC ARTS JAPAN,http://www.tech-arts.co.jp
130,TERRAS,http://www.terras.co.jp/
131,THĂNG LONG InfoTech,nan
132,THE KING,www.theking.vn
133,"The Naganuma School
Tokyo School of Japanese Language",http://www.naganuma-school.ac.jp
134,THE HE GEO,thehegeo.com
135,TMA solutions,www.tmasolutions.com
136,TMA solutions,www.tmasolutions.co.jp
137,TOHO SYSTEM SCIENCE,nan
138,TOHO SYSTEM SCIENCE,http://www.tss.co.jp
139,TOKYO INSTITUTE OF TECHNOLOGY,nan
140,Toshiba Solutions,nan
141,tqdesign,www.tqdesign.vn
142,tqdesign,www.tqdesign.vn
143,TRANSCOMOS TECHNOLOGIC ARTS,http://www.tctav.com
144,TRUONG THANH MEDIA,"www.truongthanhmedia.vn 
www.sucnuocngannam.vn 
www.sangtaovietnam.vn"
145,UCC UESHIMA COFFEE,nan
146,UNIADEX,http://www.uniadex.co.jp/
147,"UNIVERSITY OF TECHNICAL EDUCATION,HCMC,VN
VIETNAM JAPAN ORIENTAION EDUCATION CENTER VJEC",vjec.hcmute.edu.vn
148,"UNIVERSITY OF TECHNOLOGY AND EDUCATION,HCMC,VN
VIETNAM JAPAN ORIENTAION EDUCATION CENTER-VJEC","www.hcmute.edu.vn 
www.vjec.hcmute.edu.vn"
149,Valley Campus Japan,valleycampus.co.jp
150,Vietcombank Securities (VCBS),www.vcbs.com.vn
