,Company Name,Company Website
0,2NF Software,www.2nf.com.vn
1,HANOI STOCK EXCHANGE,www.hnx.vn
2,QSOFT VIETNAM,www.qsoftvietnam.com
3,NEC VIETNAM,nan
4,VIETNAM INTERNET ASSOCIATION,www.via.org.vn
5,DDS ,www.dds.co.jp
6,NTQ Solution JSC,www.ntq-solution.com.vn
7,Time Holding Company,www.timeholding.com
8,Vietnam Job,www.vietnamjob.com.vn
9,Ministry of Science & Technology,nan
10,Autonomous & Advanced System,www.aasc.co.jp
11,,nan
12,Office of The National Assembly The Socialist Republic of Vietnam,nan
13,The Office of National Programmes On Science and Technology,nan
14,MDI ASTEC VN,www.mdi-astec.vn
15,NTT DATA VIETNAM,nan
16,HARVEY NASH VIETNAM,www.harveynash.vn
17,AN LOC JSC,www.anlocjsc.vn
18,AllGrowLabo Company,www.allgrow-labo.jp
19,CBS VIETNAM,www.kk-cbs.co.jp
20,Grand Plaza Hanoi Hotel,ww.grandplazahanoi.com
21,JUMBO Japanese Logue-Bar,nan
22,BIDV Securities Join Stock,www.bsc.com.vn
23,Vietnam Business Association in Japan,www.vjba.org
24,Hoang Duc Company,www.lapduc.com
25,DATASECTION,www.datasection.co.jp
26,MEDIA GAIN,www.mediagain.co.jp
27,Japan Investor Solutions & Technologies,www.jis-t.co.jp
28,Mio System,www.miosys.co.jp
29,JUMBO Japanese Logue-Bar,nan
30,CBS VIETNAM,www.cbs-vietnam.com
31,RASIS VIETNAM JSC,www.rasis-soft.co.jp
32,Rikkeisoft,www.rikkeisoft.com
33,Hutech University,www.hutech.edu.vn
34,HIBIYA COMPUTER SYSTEM,www.hibiya-cs.co.jp
35,,nan
36,,nan
37,,nan
38,,nan
39,,nan
40,,nan
41,,nan
42,,nan
43,,nan
44,,nan
45,,nan
46,,nan
47,,nan
48,,nan
49,,nan
50,,nan
51,,nan
52,,nan
53,,nan
54,,nan
55,,nan
56,,nan
57,,nan
58,,nan
59,,nan
60,,nan
61,,nan
62,,nan
63,,nan
64,,nan
65,,nan
66,,nan
67,,nan
68,,nan
69,,nan
70,,nan
71,,nan
72,,nan
73,,nan
74,,nan
75,,nan
76,,nan
77,,nan
78,,nan
79,,nan
80,,nan
81,,nan
82,,nan
83,,nan
84,,nan
85,,nan
86,,nan
87,,nan
88,,nan
89,,nan
90,,nan
91,,nan
92,,nan
93,,nan
94,,nan
95,,nan
96,,nan
97,,nan
98,,nan
99,,nan
100,,nan
101,,nan
102,,nan
103,,nan
104,,nan
105,,nan
106,,nan
107,,nan
108,,nan
109,,nan
110,,nan
111,,nan
112,,nan
113,,nan
114,,nan
115,,nan
116,,nan
117,,nan
118,,nan
119,,nan
120,,nan
121,,nan
122,,nan
123,,nan
124,,nan
125,,nan
126,,nan
127,,nan
128,,nan
129,,nan
130,,nan
131,,nan
132,,nan
133,,nan
134,,nan
135,,nan
136,,nan
137,,nan
138,,nan
139,,nan
140,,nan
141,,nan
142,,nan
143,,nan
144,,nan
145,,nan
146,,nan
147,,nan
148,,nan
149,,nan
150,,nan
151,,nan
152,,nan
153,,nan
154,,nan
155,,nan
156,,nan
157,,nan
158,,nan
159,,nan
160,,nan
161,,nan
162,,nan
163,,nan
164,,nan
165,,nan
166,,nan
